,STATE_UT,DISTRICT,BLOCK,VILLAGE,LATITUDE,LONGITUDE,Date,WL(mbgl)
0,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Addateegala,17.4633,82.0271,01-01-24,9.0
1,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Mallavaram Mammilu,17.5032,82.0124,01-01-24,4.0
2,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Rayapalli,17.57208,82.0085,01-01-24,1.9
3,Andhra Pradesh,Alluri Sitharama Raju,Addateegala,Veerbhadrapuram,17.4379,82.074,01-01-24,1.4
4,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Anantagiri,18.2388,83.0011,01-01-24,5.3
5,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Bangarammapeta,18.216,83.1019,01-01-24,5.0
6,Andhra Pradesh,Alluri Sitharama Raju,Ananthagiri,Kottur,18.2074,83.0743,01-01-24,5.0
7,Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Araku,18.3207,82.8814,01-01-24,5.1
8,Andhra Pradesh,Alluri Sitharama Raju,Araku Valley,Sunkarametta,18.2785,82.96694,01-01-24,3.3
9,Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Antarla,17.86067,82.33823,01-01-24,7.8
10,Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lambasingi,17.8071,82.4959,01-01-24,1.7
11,Andhra Pradesh,Alluri Sitharama Raju,Chintapalle,Lotugadda,17.8554,82.4361,01-01-24,1.3
12,Andhra Pradesh,Alluri Sitharama Raju,Dumbriguda,Dimriguda,18.2885,82.7921,01-01-24,7.4
13,Andhra Pradesh,Alluri Sitharama Raju,Gangavaram,Gangavaram,17.4262,81.9133,01-01-24,5.4
14,Andhra Pradesh,Alluri Sitharama Raju,Gangavaram,Jaderu,17.4805,81.9523,01-01-24,2.0
15,Andhra Pradesh,Alluri Sitharama Raju,Gudem Kotha Veedhi,Gudem,17.863,82.1957,01-01-24,2.9
16,Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Kontela,18.1386,82.6878,01-01-24,4.0
17,Andhra Pradesh,Alluri Sitharama Raju,Hukumpeta,Rangasheela,18.2106,82.7788,01-01-24,4.5
18,Andhra Pradesh,Alluri Sitharama Raju,Koyyuru,Koyyuru,17.6599,82.2194,01-01-24,2.3
19,Andhra Pradesh,Alluri Sitharama Raju,Maredumilli,Maredumilli,17.5961,81.71549,01-01-24,5.1
20,Andhra Pradesh,Alluri Sitharama Raju,Paderu,Garikabanda,17.9453,82.7566,01-01-24,2.7
21,Andhra Pradesh,Alluri Sitharama Raju,Paderu,Minimuluru,18.0369,82.6999,01-01-24,8.2
22,Andhra Pradesh,Alluri Sitharama Raju,Paderu,Paderu,18.0795,82.6735,01-01-24,7.3
23,Andhra Pradesh,Alluri Sitharama Raju,Paderu,Vontlamamidi,17.9746,82.7334,01-01-24,2.8
24,Andhra Pradesh,Alluri Sitharama Raju,Peda Bayalu,Gamparai,18.1825,82.6374,01-01-24,3.4
25,Andhra Pradesh,Alluri Sitharama Raju,Rajavommangi,Jaddangi,17.4855,82.1582,01-01-24,8.0
26,Andhra Pradesh,Alluri Sitharama Raju,Rajavommangi,Rajavommangi,17.5408,82.2229,01-01-24,2.6
27,Andhra Pradesh,Alluri Sitharama Raju,Rampachodavaram,Chelakaveedhi,17.4613,81.671,01-01-24,3.3
28,Andhra Pradesh,Alluri Sitharama Raju,Rampachodavaram,Folkspeta,17.3139,81.8398,01-01-24,3.0
29,Andhra Pradesh,Alluri Sitharama Raju,Rampachodavaram,Rampachodavaram,17.4402,81.7805,01-01-24,8.4
30,Andhra Pradesh,Alluri Sitharama Raju,Rampachodavaram,Sitapalli,17.3762,81.7915,01-01-24,3.4
31,Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,Chaviti Tibalu,17.6183,81.9854,01-01-24,1.9
32,Andhra Pradesh,Alluri Sitharama Raju,Y. Ramavaram,P. Yerragonda,17.6583,81.9492,01-01-24,2.2
33,Andhra Pradesh,Anakapalli,Achutapuram,Haripalem,17.60917,82.97784,01-01-24,10.1
34,Andhra Pradesh,Anakapalli,Anakapalle,Anakapalli,17.68095,82.9817,01-01-24,2.9
35,Andhra Pradesh,Anakapalli,Butchayyapeta,Bangarumitta,17.83871,82.86782,01-01-24,3.4
36,Andhra Pradesh,Anakapalli,Butchayyapeta,L.Singavaram,17.81936,82.83775,01-01-24,3.4
37,Andhra Pradesh,Anakapalli,Chodavaram,Chodavaram,17.8242,82.9432,01-01-24,1.2
38,,,January month Depth to Water Level (In mbgl) Data of Unconfined Aquifer,,,,,
39,STATE_UT,DISTRICT,BLOCK,VILLAGE,,,Date,
40,Andhra Pradesh,Anakapalli,Golugonda,Mallampet,17.67405,82.44868,01-01-24,2.4
41,Andhra Pradesh,Anakapalli,Golugonda,Pata K.D.Peta,17.6723,82.3619,01-01-24,1.7
42,Andhra Pradesh,Anakapalli,K.Kotapadu,K.Kotapadu,17.8841,83.047,01-01-24,2.9
43,Andhra Pradesh,Anakapalli,Kasimkota,Tallapalem,17.63373,82.89215,01-01-24,1.9
44,Andhra Pradesh,Anakapalli,Kotauratla,Kotauratla,17.56487,82.68665,01-01-24,3.6
45,Andhra Pradesh,Anakapalli,Kotauratla,Yendapalli,17.61124,82.64991,01-01-24,2.5
46,Andhra Pradesh,Anakapalli,Narsipatnam,Narsipatnam,17.67606,82.59564,01-01-24,2.5
47,Andhra Pradesh,Anakapalli,Rambilli,Pudimadaka,17.4928,83.00236,01-01-24,4.2
48,Andhra Pradesh,Anakapalli,Ravikamatham,Kothakota,17.7562,82.7051,01-01-24,1.1
49,Andhra Pradesh,Anakapalli,Ravikamatham,Medivoda,17.78451,82.77913,01-01-24,4.8
50,Andhra Pradesh,Anakapalli,Rolugunta,Rolugunta,17.7129,82.6668,01-01-24,3.4
51,Andhra Pradesh,Anakapalli,S.Rayavaram,Addaroddu,17.43203,82.74759,01-01-24,2.5
52,Andhra Pradesh,Anakapalli,S.Rayavaram,Gurrajupeta,17.40054,82.76798,01-01-24,2.5
53,Andhra Pradesh,Anakapalli,S.Rayavaram,Rayavaram,17.45476,82.80249,01-01-24,2.2
54,Andhra Pradesh,Anakapalli,S.Rayavaram,Revupolavaram,17.39716,82.81776,01-01-24,3.8
55,Andhra Pradesh,Anakapalli,Sabbavaram,Sabbavaram,17.7921,83.1299,01-01-24,3.2
56,Andhra Pradesh,Anakapalli,Yelamanchili,Yelamanchili,17.54635,82.85566,01-01-24,8.3
57,Andhra Pradesh,Ananthapuramu,Anantapur,Kamarupalli,14.6617,77.49913,01-01-24,8.1
58,Andhra Pradesh,Ananthapuramu,Atmakur,Waddipalli,14.67769,77.4562,01-01-24,7.8
59,Andhra Pradesh,Ananthapuramu,Beluguppa,Ramasagram,14.7232,77.256,01-01-24,11.7
60,Andhra Pradesh,Ananthapuramu,Beluguppa,Ramasagram,14.7232,77.256,01-01-24,12.9
61,Andhra Pradesh,Ananthapuramu,Bukkarayasamudram,Korrapadu,14.75411,77.71196,01-01-24,3.7
62,Andhra Pradesh,Ananthapuramu,Bukkarayasamudram,Regadikotturu,14.76639,77.62333,01-01-24,2.7
63,Andhra Pradesh,Ananthapuramu,Gooty,Brahmanapalli,15.0678,77.5424,01-01-24,3.8
64,Andhra Pradesh,Ananthapuramu,Gooty,Gooty,15.1132,77.6155,01-01-24,5.4
65,Andhra Pradesh,Ananthapuramu,Gooty,Gooty,15.1179,77.64,01-01-24,10.4
